playerName,Peak,Timea,9/26/2006,11/8/2006,2/3/2007,4/8/2007,6/3/2007,1/11/2009,2/10/2009,3/3/2009,7/20/2009,12/4/2009,4/13/2010,7/14/2010,4/18/2011,8/3/2011,2/7/2012,4/10/2012,8/23/2012,1/22/2013,1/6/2013,9/22/2013,5/15/2014,9/23/2014,1/15/2015,6/1/2015,6/1/2016,11/1/2016,5/1/2017,11/1/2017,4/1/2018
SideFX,10,9,24,23,20,18,19,,,,,,,,,,13,10,,18,18,,,,,,,,,,
Kev$,25,1,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pink Shinobi,1,4,,,,,,1,1,2,1,,,,,,,,,,,,,,,,,,,,
Phil,5,19,,,,,,8,7,14,5,8,13,9,,7,8,,14,6,7,9,10,18,,20,20,23,17,,
Lucien,1,5,,,,,,9,,,13,15,4,1,,,,,,,,,,,,,,,,,
HMW,3,24,,,,,,10,8,6,6,3,6,12,7,5,5,3,12,12,9,5,4,4,9,5,13,14,15,12,17
Zeldgadis,6,7,,6,6,8,,13,10,8,,,,17,,,,,,,,,,,,,,,,,
Shroomed,1,24,,,,,,14,11,10,8,4,3,3,1,1,1,1,2,1,2,3,2,2,2,3,3,3,2,1,1
Replicate,8,8,,,,,,15,13,15,,12,8,,8,10,,,,,15,,,,,,,,,,
Mikkuz,17,2,,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,
Scamp,22,1,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meep,15,4,,24,16,15,15,,,,,,,,,,,,,,,,,,,,,,,,
DC,10,1,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,
Zhu,1,8,,,23,13,12,,,,,,,,,,,,1,3,3,4,,,,,,5,,,
Azn_Danny,16,1,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,
Narf,20,1,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,
Alan,5,13,,,,,,,,,,,,,15,15,11,8,10,9,14,16,9,5,8,6,,,,21,
Azusa,6,12,,,,,,,,,,,,,,,,,,20,17,7,6,6,6,7,7,7,6,6,11
Berto,15,4,,,,,,,,,,,,,,,,,,19,,19,,15,17,,,,,,
Bizzarro Flame,8,5,,,,,,,,,,,,,,8,,,,,13,11,,11,11,,,,,,
BlueFoxXT,12,1,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,
Chokanter,11,1,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,
DarkAtma,5,5,,,,,,,,,,,,,,,,,5,,,,,,,,,12,11,11,13
Darrell,4,17,,,,,,,,,,9,10,11,9,,4,6,9,8,11,8,5,8,12,12,10,17,19,,
Delphiki,16,2,,,,,,,,,,,,,,,,,,,,,,,16,16,,,,,
DP,7,2,,,,,,,,9,,7,,,,,,,,,,,,,,,,,,,
gaR,13,3,,,,,,,,,,,,,,,,,,,,,,20,18,13,,,,,
Hyprid,5,5,,,,,,,,,,,,,,,,,,13,5,10,7,12,,,,,,,
Ky,13,5,,,,,,,,,,,,,,,,,,,19,15,13,17,14,,,,,,
L,11,14,,,,,,,,,,,,20,13,,14,,,17,16,14,15,14,13,11,16,19,18,13,
Laudandus,4,6,,,,,,,,,,,,,,,,,,,,,14,13,5,4,,6,4,,
Lord,3,4,,,,,,,,,,,,,3,,,,,,,,,,4,,5,,,,8
Mackadotious,14,2,,,,,,,,,,,,,14,,15,,,,,,,,,,,,,,
Mexican,16,1,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,
MooniniteLeader,15,4,,,,,,,,,,,,,,,,,15,16,,20,19,,,,,,,,
Mr. Ganondorf,15,1,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,
Nemesis,24,1,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,
Nima,16,1,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,
NMW,7,8,,,,,,,,,,,,,,,,,,,,,20,,20,14,9,8,7,10,9
PewPewU,1,16,,,,,,,,,,,,4,,4,,5,4,2,1,1,3,1,3,1,4,2,1,2,2
PockyD,18,1,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,
Ralph,7,7,,,,,,,,,,,,,,,,,,,,,,19,,9,14,16,12,15,7
Scar,4,11,,,,,,,,,,,5,10,10,6,9,4,,5,8,12,11,9,,,,,,,
SFAT,1,17,,,,,,,,,,6,7,8,5,2,2,2,3,4,4,2,1,3,1,2,1,1,,,
Tafokints,6,7,,,,,,,,,,,,,12,14,6,7,7,7,6,,,,,,,,,,
Tofu,11,2,,,,,,,,,11,13,,,,,,,,,,,,,,,,,,,
Toph,7,8,,,,,,,,,,,,,,,,,,,12,18,17,10,7,8,11,24,,,
YCZ6,18,5,,,,,,,,,,,,,,,,,,,,,,,19,18,,25,,18,20
ZeldaFreak,11,3,,,,,,,,,,,,19,,,,,11,14,,,,,,,,,,,
Moose,18,3,,,,,,,,,,,,,,,,,,,,,,,,19,18,20,,,
Nintendude,2,5,,,,,,,,,,,,,,,,,,,,,,,,,2,4,5,4,12
Cactuar,6,5,,,,,,,,,,,,,,,,,,,,,,,,,6,18,14,8,6
Kaklamazhu,4,4,,,,,,,,,,,,,,,,,,,,,,,,,8,9,,9,4
Coolkid,10,2,,,,,,,,,,,,,,,,,,,,,,,,,12,10,,,
Frootloop,9,3,,,,,,,,,,,,,,,,,,,,,,,,,15,11,9,,
Spark,5,5,,,,,,,,,,,,,,,,,,,,,,,,,17,15,10,5,10
Boulevard,8,4,,,,,,,,,,,,,,,,,,,,,,,,,19,21,8,14,
s0ft,13,2,,,,,,,,,,,,,,,,,,,,,,,,,,13,13,,
Rocky,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,22,16,7,5
dizzkidboogie,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3
Chris Best,17,2,,,,,,,,,,,,,,,,,,,,,,,,,,,20,17,
Zorc,16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,
Reno,20,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,
Kira,22,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,
DiplomaticTucan,16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,16
Umarth,24,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,
Wavebringer,14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
Azel,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
Kevbot,18,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18
Rymo,19,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19
